Type,MCM_Species,MCM_C_number,MOZART_species,MOZART_C_number,MCM_Emissions_(molecules/cm2/s),MOZART_Emissions_(molecules/cm2/s)
Ethane,C2H6,2,C2H6,2,4.91E+09,4.91E+09
Propane,C3H8,3,C3H8,3,3.35E+10,3.35E+10
Butanes,NC4H10,4,BIGALK,5,1.25E+11,1.00E+11
,IC4H10,4,BIGALK,5,3.03E+10,2.42E+10
Pentanes,NC5H12,5,BIGALK,5,8.89E+10,8.89E+10
,IC5H12,5,BIGALK,5,5.33E+10,5.33E+10
,NEOP,5,BIGALK,5,1.11E+07,1.11E+07
Hexane_and_higher_Alkanes,NC6H14,6,BIGALK,5,1.51E+10,1.81E+10
,M2PE,6,BIGALK,5,2.37E+09,2.85E+09
,M3PE,6,BIGALK,5,1.32E+09,1.59E+09
,NC7H16,7,BIGALK,5,1.44E+10,2.02E+10
,M2HEX,7,BIGALK,5,2.64E+08,3.69E+08
,M3HEX,7,BIGALK,5,2.27E+08,3.18E+08
,M22C4,6,BIGALK,5,3.47E+07,4.16E+07
,M23C4,6,BIGALK,5,3.47E+07,4.16E+07
,NC8H18,8,BIGALK,5,1.04E+10,1.67E+10
,NC9H20,9,BIGALK,5,1.04E+09,1.87E+09
,NC10H22,10,BIGALK,5,2.02E+09,4.04E+09
,NC11H24,11,BIGALK,5,8.41E+08,1.85E+09
,NC12H26,12,BIGALK,5,3.03E+08,7.28E+08
,CHEX,6,BIGALK,5,2.75E+08,3.30E+08
Ethene,C2H4,2,C2H4,2,3.66E+10,3.66E+10
Propene,C3H6,3,C3H6,3,1.82E+09,1.82E+09
Higher_Alkenes,HEX1ENE,6,BIGENE,4,3.42E+07,5.13E+07
,BUT1ENE,4,BIGENE,4,9.99E+07,9.99E+07
,MEPROPENE,4,BIGENE,4,9.80E+06,9.80E+06
,TBUT2ENE,4,BIGENE,4,9.80E+06,9.80E+06
,CBUT2ENE,4,BIGENE,4,9.80E+06,9.80E+06
,CPENT2ENE,5,BIGENE,4,9.57E+06,1.20E+07
,TPENT2ENE,5,BIGENE,4,9.57E+06,1.20E+07
,PENT1ENE,5,BIGENE,4,2.68E+07,3.34E+07
,ME2BUT2ENE,5,BIGENE,4,1.09E+07,1.37E+07
,ME3BUT1ENE,5,BIGENE,4,1.09E+07,1.37E+07
,ME2BUT1ENE,5,BIGENE,4,2.05E+06,2.57E+06
Ethyne,C2H2,2,C2H2,2,2.78E+09,2.78E+09
Benzene,BENZENE,6,TOLUENE,7,4.52E+09,3.87E+09
Toluene,TOLUENE,7,TOLUENE,7,5.63E+09,5.63E+09
Xylenes,MXYL,8,TOLUENE,7,1.81E+09,2.07E+09
,OXYL,8,TOLUENE,7,8.40E+08,9.60E+08
,PXYL,8,TOLUENE,7,8.07E+08,9.22E+08
