Type,MCM_Species,PAR,OLE,TOL,XYL,FORM,ALD2,ALDX,MEOH,ETOH,FACD,AACD,ETH,ETHA,IOLE,ISOP,TERP
Ethane,C2H6,,,,,,,,,,,,,1,,,
Propane,C3H8,2,,,,,,,,,,,,,,,
Butanes,NC4H10,4,,,,,,,,,,,,,,,
,IC4H10,4,,,,,,,,,,,,,,,
Pentanes,NC5H12,5,,,,,,,,,,,,,,,
,IC5H12,5,,,,,,,,,,,,,,,
,NEOP,4,,,,,,,,,,,,,,,
Hexane_and_Higher_Alkanes,NC6H14,6,,,,,,,,,,,,,,,
,M2PE,6,,,,,,,,,,,,,,,
,M3PE,6,,,,,,,,,,,,,,,
,NC7H16,7,,,,,,,,,,,,,,,
,M2HEX,7,,,,,,,,,,,,,,,
,M3HEX,7,,,,,,,,,,,,,,,
,M22C4,5,,,,,,,,,,,,,,,
,M23C4,6,,,,,,,,,,,,,,,
,NC8H18,8,,,,,,,,,,,,,,,
,NC9H20,9,,,,,,,,,,,,,,,
,NC10H22,10,,,,,,,,,,,,,,,
,NC11H24,11,,,,,,,,,,,,,,,
,NC12H26,12,,,,,,,,,,,,,,,
,CHEX,6,,,,,,,,,,,,,,,
Ethene,C2H4,,,,,,,,,,,,1,,,,
Propene,C3H6,1,1,,,,,,,,,,,,,,
Higher_Alkenes,HEX1ENE,4,1,,,,,,,,,,,,,,
,BUT1ENE,2,1,,,,,,,,,,,,,,
,MEPROPENE,3,,,,1,,,,,,,,,,,
,TBUT2ENE,,,,,,,,,,,,,,1,,
,CBUT2ENE,,,,,,,,,,,,,,1,,
,CPENT2ENE,1,,,,,,,,,,,,,1,,
,TPENT2ENE,1,,,,,,,,,,,,,1,,
,PENT1ENE,3,1,,,,,,,,,,,,,,
,ME2BUT2ENE,3,,,,,1,,,,,,,,,,
,ME3BUT1ENE,3,1,,,,,,,,,,,,,,
,ME2BUT1ENE,4,,,,1,,,,,,,,,,,
Ethyne,C2H2,1,,,,,,,,,,,,,,,
Benzene,BENZENE,1,,,,,,,,,,,,,,,
Toluene,TOLUENE,,,1,,,,,,,,,,,,,
Xylenes,MXYL,,,,1,,,,,,,,,,,,
,OXYL,,,,1,,,,,,,,,,,,
,PXYL,,,,1,,,,,,,,,,,,
Trimethylbenzenes,TM123B,1,,,1,,,,,,,,,,,,
,TM124B,1,,,1,,,,,,,,,,,,
,TM135B,1,,,1,,,,,,,,,,,,
Other_Aromatics,EBENZ,1,,1,,,,,,,,,,,,,
,PBENZ,2,,1,,,,,,,,,,,,,
,IPBENZ,2,,1,,,,,,,,,,,,,
,PETHTOL,1,,,1,,,,,,,,,,,,
,METHTOL,1,,,1,,,,,,,,,,,,
,OETHTOL,1,,,1,,,,,,,,,,,,
,DIET35TOL,3,,,1,,,,,,,,,,,,
,DIME35EB,2,,,1,,,,,,,,,,,,
,STYRENE,,1,1,,,,,,,,,,,,,
,BENZAL,,,1,,,,,,,,,,,,,
,PHENOL,1,,,,,,,,,,,,,,,
Formaldehyde,HCHO,,,,,1,,,,,,,,,,,
Other_Aldehydes,CH3CHO,,,,,,1,,,,,,,,,,
,C2H5CHO,1,,,,,,1,,,,,,,,,
,C3H7CHO,2,,,,,,1,,,,,,,,,
,IPRCHO,2,,,,,,1,,,,,,,,,
,C4H9CHO,3,,,,,,1,,,,,,,,,
,ACR,,1,,,,,1,,,,,,,,,
,MACR,1,1,,,,,1,,,,,,,,,
,C4ALDB,,1,,,,,1,,,,,,,,,
,MGLYOX,,,,,1,,1,,,,,,,,,
Alkadienes_and_Other_Alkynes,C4H6,,2,,,,,,,,,,,,,,
,C5H8,,,,,,,,,,,,,,,1,
Organic_Acids,HCOOH,,,,,,,,,,1,,,,,,
,CH3CO2H,,,,,,,,,,,1,,,,,
,PROPACID,1,,,,,,,,,,1,,,,,
,ACO2H,,1,,,,,,,,,,,,,,
Alcohols,CH3OH,,,,,,,,1,,,,,,,,
,C2H5OH,,,,,,,,,1,,,,,,,
,NPROPOL,3,,,,,,,,,,,,,,,
,IPROPOL,3,,,,,,,,,,,,,,,
,NBUTOL,4,,,,,,,,,,,,,,,
,BUT2OL,4,,,,,,,,,,,,,,,
,IBUTOL,4,,,,,,,,,,,,,,,
,TBUTOL,3,,,,,,,,,,,,,,,
,PECOH,5,,,,,,,,,,,,,,,
,IPEAOH,5,,,,,,,,,,,,,,,
,ME3BUOL,5,,,,,,,,,,,,,,,
,IPECOH,5,,,,,,,,,,,,,,,
,IPEBOH,5,,,,,,,,,,,,,,,
,CYHEXOL,6,,,,,,,,,,,,,,,
,MIBKAOH,6,,,,,,,,,,,,,,,
,ETHGLY,2,,,,,,,,,,,,,,,
,PROPGLY,3,,,,,,,,,,,,,,,
,C6H5CH2OH,,,1,,,,,,,,,,,,,
,MBO,3,1,,,,,,,,,,,,,,
Ketones,CH3COCH3,3,,,,,,,,,,,,,,,
,MEK,4,,,,,,,,,,,,,,,
,MPRK,5,,,,,,,,,,,,,,,
,DIEK,5,,,,,,,,,,,,,,,
,MIPK,5,,,,,,,,,,,,,,,
,HEX2ONE,6,,,,,,,,,,,,,,,
,HEX3ONE,6,,,,,,,,,,,,,,,
,MIBK,6,,,,,,,,,,,,,,,
,MTBK,6,,,,,,,,,,,,,,,
,CYHEXONE,6,,,,,,,,,,,,,,,
Ethers,CH3OCH3,2,,,,,,,,,,,,,,,
,DIETETHER,4,,,,,,,,,,,,,,,
,MTBE,4,,,,,,,,,,,,,,,
,DIIPRETHER,6,,,,,,,,,,,,,,,
,ETBE,3,,,,,,,,,,,,,,,
,MO2EOL,3,,,,,,,,,,,,,,,
,EOX2EOL,4,,,,,,,,,,,,,,,
,PR2OHMOX,2,,,,,,,,,,,,,,,
,BUOX2ETOH,6,,,,,,,,,,,,,,,
,BOX2PROL,7,,,,,,,,,,,,,,,
Chlorinated_Hydrocarbons,CH2CL2,,,,,,,,,,,,,,,,
,CH3CH2CL,,,,,,,,,,,,,,,,
,CH3CCL3,,,,,,,,,,,,,,,,
,TRICLETH,,,,,,,,,,,,1,,,,
,CDICLETH,,,,,,,,,,,,,,,,
,TDICLETH,,,,,,,,,,,,,,,,
,CH3CL,,,,,,,,,,,,,,,,
,CCL2CH2,,,,,,,,,,,,,,,,
,CHCL2CH3,,,,,,,,,,,,,,,,
,VINCL,,,,,,,,,,,,1,,,,
,TCE,,,,,,,,,,,,,,,,
,CHCL3,,,,,,,,,,,,,,,,
Esters,METHACET,2,,,,,,,,,,,,,,,
,ETHACET,3,,,,,,,,,,,,,,,
,NBUTACET,5,,,,,,,,,,,,,,,
,IPROACET,4,,,,,,,,,,,,,,,
,CH3OCHO,1,,,,,,,,,,,,,,,
,NPROACET,4,,,,,,,,,,,,,,,
Terpenes,APINENE,,,,,,,,,,,,,,,,1
,BPINENE,,,,,,,,,,,,,,,,1
,LIMONENE,,,,,,,,,,,,,,,,1
