Type,MCM.Species,SNAP.1.Emissions,SNAP.2.Emissions,SNAP.34.Emissions,SNAP.5.Emissions,SNAP.6.Emissions,SNAP.71.Emissions,SNAP.72.Emissions,SNAP.73.Emissions,SNAP.74.Emissions,SNAP.8.Emissions,SNAP.9.Emissions,BVOC.Emissions,Total.Emissions
Ethane,C2H6,9.85e+08,1668300000,9.18e+09,NA,NA,9.67e+08,2.96e+08,63860000,NA,3.45e+08,210200000,NA,1.3728e+10
Propane,C3H8,2.886e+09,1086600000,2.573e+09,1.041e+11,9.72e+08,47090000,202400000,638600000,62710000,249700000,75200000,NA,1.129e+11
Butanes,NC4H10,2.127e+09,882870000,949270000,6.11e+11,3.61e+09,1.048e+09,209500000,NA,1037800000,315300000,42200000,NA,6.21e+11
,IC4H10,258600000,309660000,232311000,1.486e+11,163700000,489100000,97500000,NA,483900000,157900000,42200000,NA,1.509e+11
Pentanes,NC5H12,1.783e+09,1014960000,NA,4.548e+11,NA,6.27e+08,8.4e+07,NA,521500000,118200000,14890000,NA,4.589e+11
,IC5H12,7.52e+08,544340000,NA,2.718e+11,NA,1.216e+09,163500000,NA,1011700000,225600000,14890000,NA,2.762e+11
,NEOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14890000,NA,14890000
Hexane.and.Higher.Alkanes,NC6H14,954100000,57390000,1.211e+09,6.49e+10,3.162e+09,2.207e+09,1.246e+09,NA,193450000,4.26e+08,5160000,NA,7.44e+10
,M2PE,NA,NA,156600000,9.98e+09,6.66e+08,NA,NA,NA,NA,7.08e+08,2215000,NA,1.151e+10
,M3PE,NA,NA,117100000,4.989e+09,6.66e+08,NA,NA,NA,NA,4.26e+08,NA,NA,6.2e+09
,NC7H16,409520000,98740000,5.71e+08,6.97e+10,1.146e+09,363500000,205300000,NA,31790000,121900000,26040000,NA,7.28e+10
,M2HEX,NA,NA,NA,NA,4.3e+08,2.83e+08,159500000,NA,24710000,182900000,NA,NA,1.08e+09
,M3HEX,NA,NA,NA,NA,4.3e+08,2.02e+08,1.14e+08,NA,17634000,121900000,NA,NA,8.86e+08
,M22C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,141800000,NA,NA,141800000
,M23C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,141800000,NA,NA,141800000
,NC8H18,NA,NA,235300000,5.18e+10,125600000,319500000,179700000,NA,27890000,6.95e+08,8900000,NA,5.33e+10
,NC9H20,NA,NA,131200000,NA,3.02e+09,NA,NA,NA,NA,NA,2969000,NA,3.148e+09
,NC10H22,NA,NA,1.66e+08,NA,5.85e+09,142200000,80300000,NA,12458000,NA,4460000,NA,6.25e+09
,NC11H24,NA,NA,64600000,NA,2.387e+09,51830000,29280000,NA,4536000,78100000,1625000,NA,2.617e+09
,NC12H26,NA,NA,NA,NA,168500000,8.45e+08,476900000,NA,74100000,71700000,NA,NA,1.637e+09
,CHEX,NA,91490000,4e+07,NA,6.82e+08,NA,NA,NA,NA,NA,1506000,NA,8.15e+08
Ethene,C2H4,212300000,3695700000,3.368e+10,NA,NA,5.341e+09,3.807e+09,342500000,NA,4.62e+09,1.9e+08,NA,5.188e+10
Propene,C3H6,141700000,868200000,6.59e+08,NA,NA,1.876e+09,634800000,151810000,NA,7.86e+08,54500000,NA,5.18e+09
Higher.Alkenes,HEX1ENE,21050000,15773000,NA,NA,NA,NA,NA,NA,NA,NA,21810000,NA,58703000
,BUT1ENE,NA,22154000,240400000,NA,NA,NA,NA,NA,NA,24510000,NA,NA,286604000
,MEPROPENE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12260000,NA,NA,12260000
,TBUT2ENE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12260000,NA,NA,12260000
,CBUT2ENE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12260000,NA,NA,12260000
,CPENT2ENE,NA,6961000,NA,NA,NA,NA,NA,NA,NA,4902000,NA,NA,11861000
,TPENT2ENE,NA,6961000,NA,NA,NA,NA,NA,NA,NA,4902000,NA,NA,11861000
,PENT1ENE,NA,6328000,6186000,NA,NA,NA,NA,NA,NA,19630000,NA,NA,32171000
,ME2BUT2ENE,NA,3793000,NA,NA,NA,NA,NA,NA,NA,9800000,NA,NA,13581000
,ME3BUT1ENE,NA,3793000,NA,NA,NA,NA,NA,NA,NA,9800000,NA,NA,13581000
,ME2BUT1ENE,NA,2525500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2525500
