Type,MCM_Species,MOZART-4_Species,Belgium_MOZART_Emissions,Luxembourg_MOZART_Emissions,Netherlands_MOZART_Emissions,Total
Ethane,C2H6,C2H6,4.91E+09,8.58E+08,7.96E+09,1.37E+10
Propane,C3H8,C3H8,3.35E+10,4.00E+10,3.94E+10,1.13E+11
Butanes,NC4H10,BIGALK,1.00E+11,2.79E+11,1.17E+11,4.96E+11
,IC4H10,BIGALK,2.42E+10,6.80E+10,2.85E+10,1.21E+11
Pentanes,NC5H12,BIGALK,8.89E+10,2.65E+11,1.05E+11,4.59E+11
,IC5H12,BIGALK,5.33E+10,1.60E+11,6.29E+10,2.76E+11
,NEOP,BIGALK,1.11E+07,0.00E+00,3.79E+06,1.49E+07
Hexane_and_Higher_Alkanes,NC6H14,BIGALK,1.82E+10,4.92E+10,2.18E+10,8.92E+10
,M2PE,BIGALK,2.87E+09,7.54E+09,3.41E+09,1.38E+10
,M3PE,BIGALK,1.61E+09,3.94E+09,1.89E+09,7.44E+09
,NC7H16,BIGALK,2.02E+10,5.77E+10,2.39E+10,1.02E+11
,M2HEX,BIGALK,3.83E+08,6.84E+08,4.44E+08,1.51E+09
,M3HEX,BIGALK,3.31E+08,5.45E+08,3.63E+08,1.24E+09
,M22C4,BIGALK,4.16E+07,6.34E+07,6.51E+07,1.70E+08
,M23C4,BIGALK,4.16E+07,6.34E+07,6.51E+07,1.70E+08
,NC8H18,BIGALK,1.67E+10,4.89E+10,1.97E+10,8.53E+10
,NC9H20,BIGALK,1.99E+09,1.93E+09,1.76E+09,5.68E+09
,NC10H22,BIGALK,4.31E+09,4.42E+09,3.78E+09,1.25E+10
,NC11H24,BIGALK,1.97E+09,2.04E+09,1.75E+09,5.76E+09
,NC12H26,BIGALK,7.37E+08,2.13E+09,1.06E+09,3.93E+09
,CHEX,BIGALK,3.49E+08,2.93E+08,3.36E+08,9.78E+08
Ethene,C2H4,C2H4,3.66E+10,7.03E+09,8.25E+09,5.19E+10
Propene,C3H6,C3H6,1.82E+09,1.68E+09,1.68E+09,5.18E+09
Higher_Alkenes,HEX1ENE,BIGENE,5.13E+07,7.55E+05,3.60E+07,8.81E+07
,BUT1ENE,BIGENE,9.99E+07,7.04E+05,1.86E+08,2.87E+08
,MEPROPENE,BIGENE,9.80E+06,0.00E+00,2.46E+06,1.23E+07
,TBUT2ENE,BIGENE,9.80E+06,0.00E+00,2.46E+06,1.23E+07
,CBUT2ENE,BIGENE,9.80E+06,0.00E+00,2.46E+06,1.23E+07
,CPENT2ENE,BIGENE,1.20E+07,2.77E+05,2.58E+06,1.49E+07
,TPENT2ENE,BIGENE,1.20E+07,2.77E+05,2.58E+06,1.49E+07
,PENT1ENE,BIGENE,3.34E+07,2.52E+05,6.47E+06,4.01E+07
,ME2BUT2ENE,BIGENE,1.37E+07,1.51E+05,3.20E+06,1.71E+07
,ME3BUT1ENE,BIGENE,1.37E+07,1.51E+05,3.20E+06,1.71E+07
,ME2BUT1ENE,BIGENE,2.57E+06,1.01E+05,4.93E+05,3.16E+06
Ethyne,C2H2,C2H2,2.78E+09,4.51E+09,3.22E+09,1.05E+10
Benzene,BENZENE,TOLUENE,3.87E+09,9.05E+09,4.30E+09,1.72E+10
Toluene,TOLUENE,TOLUENE,5.78E+09,1.22E+10,6.37E+09,2.44E+10
Xylenes,MXYL,TOLUENE,2.17E+09,3.43E+09,2.14E+09,7.74E+09
,OXYL,TOLUENE,9.85E+08,2.16E+09,1.10E+09,4.25E+09
,PXYL,TOLUENE,9.46E+08,2.08E+09,1.04E+09,4.07E+09
Trimethylbenzenes,TM123B,TOLUENE,5.78E+07,9.47E+07,6.65E+07,2.19E+08
,TM124B,TOLUENE,2.25E+08,3.72E+08,3.12E+08,9.09E+08
,TM135B,TOLUENE,7.17E+07,1.32E+08,9.14E+07,2.95E+08
Other_Aromatics,EBENZ,TOLUENE,4.57E+08,9.46E+08,7.19E+08,2.12E+09
,PBENZ,TOLUENE,2.04E+08,5.95E+08,2.97E+08,1.10E+09
,IPBENZ,TOLUENE,1.01E+08,1.34E+08,1.20E+08,3.55E+08
,PETHTOL,TOLUENE,7.76E+07,1.34E+08,1.36E+08,3.48E+08
,METHTOL,TOLUENE,8.90E+07,1.47E+08,1.45E+08,3.81E+08
,OETHTOL,TOLUENE,5.39E+07,9.61E+07,9.80E+07,2.48E+08
,DIET35TOL,TOLUENE,3.84E+08,1.32E+09,5.60E+08,2.26E+09
,DIME35EB,TOLUENE,1.52E+08,2.68E+08,1.56E+08,5.76E+08
,STYRENE,TOLUENE,7.72E+07,1.45E+08,1.31E+08,3.53E+08
,BENZAL,TOLUENE,6.01E+07,2.07E+08,8.76E+07,3.55E+08
,PHENOL,TOLUENE,1.59E+07,0.00E+00,4.54E+07,6.13E+07
Formaldehyde,HCHO,CH2O,2.35E+09,3.04E+09,3.38E+09,8.77E+09
Other_Aldehydes,CH3CHO,CH3CHO,5.53E+08,8.88E+08,5.35E+08,1.98E+09
,C2H5CHO,CH3CHO,2.67E+08,2.95E+08,2.61E+08,8.23E+08
,C3H7CHO,CH3CHO,2.37E+08,1.34E+08,2.11E+08,5.82E+08
,IPRCHO,CH3CHO,1.92E+08,9.14E+07,1.61E+08,4.44E+08
,C4H9CHO,CH3CHO,1.06E+08,6.13E+06,6.27E+07,1.75E+08
,ACR,MACR,8.33E+07,1.35E+08,7.33E+07,2.92E+08
,MACR,MACR,5.23E+07,3.01E+06,3.08E+07,8.61E+07
,C4ALDB,MACR,7.67E+07,9.70E+07,6.24E+07,2.36E+08
,MGLYOX,CH3COCHO,4.52E+07,4.28E+07,5.05E+07,1.39E+08
Alkadienes_and_Other_Alkynes,C4H6,BIGENE,4.36E+10,1.34E+11,4.45E+10,2.22E+11
,C5H8,ISOP,3.35E+09,1.10E+10,0.00E+00,1.44E+10
