Type,MCM_Species,RADM2_Species,Belgium_RADM2_Emissions,Luxembourg_RADM2_Emissions,Netherlands_RADM2_Emissions,Total
Ethane,C2H6,ETH,4.91E+09,8.58E+08,7.96E+09,1.37E+10
Propane,C3H8,HC3,3.47E+10,4.13E+10,4.08E+10,1.17E+11
Butanes,NC4H10,HC3,1.73E+11,4.81E+11,2.02E+11,8.56E+11
,IC4H10,HC3,4.18E+10,1.17E+11,4.91E+10,2.08E+11
Pentanes,NC5H12,HC5,9.26E+10,2.76E+11,1.09E+11,4.78E+11
,IC5H12,HC5,5.55E+10,1.66E+11,6.55E+10,2.87E+11
,NEOP,HC3,1.91E+07,0.00E+00,6.54E+06,2.56E+07
Hexane_and_Higher_Alkanes,NC6H14,HC5,1.89E+10,5.12E+10,2.28E+10,9.29E+10
,M2PE,HC5,2.99E+09,7.85E+09,3.55E+09,1.44E+10
,M3PE,HC5,1.67E+09,4.11E+09,1.97E+09,7.75E+09
,NC7H16,HC5,2.11E+10,6.01E+10,2.49E+10,1.06E+11
,M2HEX,HC8,2.42E+08,4.33E+08,2.81E+08,9.56E+08
,M3HEX,HC8,2.10E+08,3.45E+08,2.30E+08,7.85E+08
,M22C4,HC3,7.18E+07,1.09E+08,1.12E+08,2.93E+08
,M23C4,HC5,4.34E+07,6.61E+07,6.78E+07,1.77E+08
,NC8H18,HC8,1.06E+10,3.10E+10,1.25E+10,5.41E+10
,NC9H20,HC8,1.26E+09,1.22E+09,1.11E+09,3.59E+09
,NC10H22,HC8,2.73E+09,2.80E+09,2.39E+09,7.92E+09
,NC11H24,HC8,1.25E+09,1.29E+09,1.11E+09,3.65E+09
,NC12H26,HC8,4.66E+08,1.35E+09,6.71E+08,2.49E+09
,CHEX,HC8,2.21E+08,1.85E+08,2.13E+08,6.19E+08
Ethene,C2H4,OL2,3.66E+10,7.03E+09,8.25E+09,5.19E+10
Propene,C3H6,OLT,1.43E+09,1.32E+09,1.32E+09,4.07E+09
Higher_Alkenes,HEX1ENE,OLT,5.40E+07,7.94E+05,3.79E+07,9.27E+07
,BUT1ENE,OLT,1.05E+08,7.41E+05,1.96E+08,3.02E+08
,MEPROPENE,OLI,8.17E+06,0.00E+00,2.05E+06,1.02E+07
,TBUT2ENE,OLI,8.17E+06,0.00E+00,2.05E+06,1.02E+07
,CBUT2ENE,OLI,8.17E+06,0.00E+00,2.05E+06,1.02E+07
,CPENT2ENE,OLI,9.97E+06,2.31E+05,2.15E+06,1.24E+07
,TPENT2ENE,OLI,9.97E+06,2.31E+05,2.15E+06,1.24E+07
,PENT1ENE,OLT,3.52E+07,2.65E+05,6.81E+06,4.23E+07
,ME2BUT2ENE,OLI,1.14E+07,1.26E+05,2.66E+06,1.42E+07
,ME3BUT1ENE,OLT,1.44E+07,1.59E+05,3.36E+06,1.79E+07
,ME2BUT1ENE,OLI,2.14E+06,8.39E+04,4.11E+05,2.63E+06
Ethyne,C2H2,HC3,1.92E+09,3.11E+09,2.22E+09,7.25E+09
Benzene,BENZENE,TOL,3.82E+09,8.93E+09,4.24E+09,1.70E+10
Toluene,TOLUENE,TOL,5.69E+09,1.21E+10,6.28E+09,2.41E+10
Xylenes,MXYL,XYL,1.71E+09,2.69E+09,1.69E+09,6.09E+09
,OXYL,XYL,7.74E+08,1.70E+09,8.68E+08,3.34E+09
,PXYL,XYL,7.44E+08,1.63E+09,8.16E+08,3.19E+09
Trimethylbenzenes,TM123B,XYL,4.54E+07,7.45E+07,5.23E+07,1.72E+08
,TM124B,XYL,1.77E+08,2.93E+08,2.45E+08,7.15E+08
,TM135B,XYL,5.64E+07,1.04E+08,7.19E+07,2.32E+08
Other_Aromatics,EBENZ,TOL,4.50E+08,9.33E+08,7.08E+08,2.09E+09
,PBENZ,TOL,2.01E+08,5.86E+08,2.93E+08,1.08E+09
,IPBENZ,TOL,9.99E+07,1.32E+08,1.18E+08,3.50E+08
,PETHTOL,XYL,6.10E+07,1.06E+08,1.07E+08,2.74E+08
,METHTOL,XYL,7.00E+07,1.16E+08,1.14E+08,3.00E+08
,OETHTOL,XYL,4.24E+07,7.56E+07,7.71E+07,1.95E+08
,DIET35TOL,XYL,3.02E+08,1.04E+09,4.41E+08,1.78E+09
,DIME35EB,XYL,1.19E+08,2.11E+08,1.23E+08,4.53E+08
,STYRENE,TOL,7.61E+07,1.43E+08,1.29E+08,3.48E+08
,BENZAL,CSL,6.38E+07,2.20E+08,9.29E+07,3.77E+08
,PHENOL,CSL,1.69E+07,0.00E+00,4.81E+07,6.50E+07
Formaldehyde,HCHO,HCHO,2.35E+09,3.04E+09,3.38E+09,8.77E+09
Other_Aldehydes,CH3CHO,ALD,4.61E+08,7.40E+08,4.46E+08,1.65E+09
,C2H5CHO,ALD,2.23E+08,2.46E+08,2.18E+08,6.87E+08
,C3H7CHO,ALD,1.98E+08,1.12E+08,1.76E+08,4.86E+08
,IPRCHO,ALD,1.60E+08,7.62E+07,1.34E+08,3.70E+08
,C4H9CHO,ALD,8.86E+07,5.10E+06,5.23E+07,1.46E+08
,ACR,ALD,1.39E+08,2.25E+08,1.22E+08,4.86E+08
,MACR,ALD,8.71E+07,5.02E+06,5.14E+07,1.44E+08
,C4ALDB,ALD,1.28E+08,1.62E+08,1.04E+08,3.94E+08
,MGLYOX,MGLY,4.52E+07,2.85E+07,3.36E+07,1.07E+08
Alkadienes_and_Other_Alkynes,C4H6,OLI,3.64E+10,1.12E+11,4.63E+10,1.95E+11
,C5H8,ISO,3.35E+09,1.10E+10,0.00E+00,1.44E+10
Organic_Acids,HCOOH,ORA1,9.28E+08,4.04E+07,4.74E+08,1.44E+09
,CH3CO2H,ORA2,7.55E+08,3.10E+07,4.88E+08,1.27E+09
,PROPACID,ORA2,8.65E+08,3.77E+07,4.42E+08,1.34E+09
,ACO2H,OLT,2.87E+07,0.00E+00,8.19E+07,1.11E+08
Alcohols,CH3OH,HC3,7.59E+08,8.27E+08,6.37E+08,2.22E+09
,C2H5OH,HC3,2.27E+09,1.73E+09,1.78E+09,5.78E+09
,NPROPOL,HC5,1.29E+08,1.25E+08,9.70E+07,3.51E+08
,IPROPOL,HC5,1.92E+08,2.00E+08,1.54E+08,5.46E+08
,NBUTOL,HC8,9.67E+07,9.84E+07,7.55E+07,2.71E+08
,BUT2OL,HC8,7.14E+07,6.56E+07,5.17E+07,1.89E+08
,IBUTOL,HC8,4.54E+07,4.10E+07,3.15E+07,1.18E+08
,TBUTOL,HC3,2.40E+07,0.00E+00,1.24E+05,2.41E+07
,PECOH,HC8,9.27E+06,0.00E+00,4.77E+04,9.32E+06
