Type,MCM.species,Snap.1.Emissions,Snap.2.Emissions,Snap.34.Emissions,Snap.5.Emissions,Snap.6.Emissions,Snap.71.Emissions,Snap.72.Emissions,Snap.73.Emissions,Snap.74.Emissions,Snap.8.Emissions,Snap.9.Emissions,Snap.11.Emissions,Total.Emissions
Ethane,C2H6,,4.33E+07,,,,4.78E+08,2.06E+08,3.49E+06,,1.26E+08,,,8.58E+08
Propane,C3H8,1.46E+08,1.36E+07,,3.91E+10,3.39E+08,2.33E+07,1.41E+08,3.49E+07,4.34E+07,8.61E+07,,,4.00E+10
Butanes,NC4H10,2.20E+08,7.87E+06,,3.46E+11,1.26E+09,5.18E+08,1.46E+08,,7.19E+08,8.71E+07,,,3.49E+11
,IC4H10,2.68E+07,2.76E+06,,8.42E+10,5.71E+07,2.42E+08,6.79E+07,,3.35E+08,4.36E+07,,,8.50E+10
Pentanes,NC5H12,2.44E+08,9.96E+06,,2.64E+11,,3.10E+08,5.85E+07,,3.61E+08,3.62E+07,,,2.65E+11
,IC5H12,1.03E+08,5.34E+06,,1.58E+11,,6.01E+08,1.14E+08,,7.01E+08,6.91E+07,,,1.60E+11
,NEOP,,,,,,,,,,,,,0.00E+00
Hexane.and.Higher.Alkanes,NC6H14,2.21E+07,1.19E+06,,3.76E+10,1.12E+09,1.09E+09,8.68E+08,,1.34E+08,1.59E+08,,,4.10E+10
,M2PE,,,,5.78E+09,2.37E+08,,,,,2.64E+08,,,6.28E+09
,M3PE,,,,2.89E+09,2.37E+08,,,,,1.59E+08,,,3.29E+09
,NC7H16,9.52E+06,2.04E+06,,4.04E+10,4.07E+08,1.80E+08,1.43E+08,,2.20E+07,4.55E+07,,,4.12E+10
,M2HEX,,,,,1.53E+08,1.40E+08,1.11E+08,,1.71E+07,6.82E+07,,,4.89E+08
,M3HEX,,,,,1.53E+08,9.99E+07,7.94E+07,,1.22E+07,4.55E+07,,,3.90E+08
,M22C4,,,,,,,,,,5.29E+07,,,5.29E+07
,M23C4,,,,,,,,,,5.29E+07,,,5.29E+07
,NC8H18,,,,3.00E+10,4.46E+07,1.58E+08,1.25E+08,,1.93E+07,2.59E+08,,,3.06E+10
,NC9H20,,,,,1.07E+09,,,,,,,,1.07E+09
,NC10H22,,,,,2.08E+09,7.03E+07,5.59E+07,,8.63E+06,,,,2.21E+09
,NC11H24,,,,,8.48E+08,2.56E+07,2.04E+07,,3.14E+06,2.91E+07,,,9.26E+08
,NC12H26,,,,,5.98E+07,4.18E+08,3.32E+08,,5.13E+07,2.67E+07,,,8.88E+08
,CHEX,,1.89E+06,,,2.42E+08,,,,,,,,2.44E+08
Ethene,C2H4,,9.57E+07,,,,2.64E+09,2.65E+09,1.87E+07,,1.62E+09,,,7.03E+09
Propene,C3H6,,2.82E+07,,,,9.28E+08,4.42E+08,8.31E+06,,2.71E+08,,,1.68E+09
Higher.Alkenes,HEX1ENE,,5.03E+05,,,,,,,,,,,5.03E+05
,BUT1ENE,,7.04E+05,,,,,,,,,,,7.04E+05
,MEPROPENE,,,,,,,,,,,,,0.00E+00
,TBUT2ENE,,,,,,,,,,,,,0.00E+00
,CBUT2ENE,,,,,,,,,,,,,0.00E+00
