Type,MCM_Species,MCM_C_number,MOZART_species,MOZART_C_number,MCM_Emissions_(molecules/cm2/s),MOZART_Emissions_(molecules/cm2/s)
Ethane,C2H6,2,C2H6,2,8.58E+08,8.58E+08
Propane,C3H8,3,C3H8,3,4.00E+10,4.00E+10
Butanes,NC4H10,4,BIGALK,5,3.49E+11,2.79E+11
,IC4H10,4,BIGALK,5,8.50E+10,6.80E+10
Pentanes,NC5H12,5,BIGALK,5,2.65E+11,2.65E+11
,IC5H12,5,BIGALK,5,1.60E+11,1.60E+11
,NEOP,5,BIGALK,5,0.00E+00,0.00E+00
Hexane_and_Higher_Alkanes,NC6H14,6,BIGALK,5,4.10E+10,4.92E+10
,M2PE,6,BIGALK,5,6.28E+09,7.54E+09
,M3PE,6,BIGALK,5,3.29E+09,3.94E+09
,NC7H16,7,BIGALK,5,4.12E+10,5.77E+10
,M2HEX,7,BIGALK,5,4.89E+08,6.84E+08
,M3HEX,7,BIGALK,5,3.90E+08,5.45E+08
,M22C4,6,BIGALK,5,5.29E+07,6.34E+07
,M23C4,6,BIGALK,5,5.29E+07,6.34E+07
,NC8H18,8,BIGALK,5,3.06E+10,4.89E+10
,NC9H20,9,BIGALK,5,1.07E+09,1.93E+09
,NC10H22,10,BIGALK,5,2.21E+09,4.42E+09
,NC11H24,11,BIGALK,5,9.26E+08,2.04E+09
,NC12H26,12,BIGALK,5,8.88E+08,2.13E+09
,CHEX,6,BIGALK,5,2.44E+08,2.93E+08
Ethene,C2H4,2,C2H4,2,7.03E+09,7.03E+09
Propene,C3H6,3,C3H6,3,1.68E+09,1.68E+09
Higher_Alkenes,HEX1ENE,6,BIGENE,4,5.03E+05,7.55E+05
,BUT1ENE,4,BIGENE,4,7.04E+05,7.04E+05
,MEPROPENE,4,BIGENE,4,0.00E+00,0.00E+00
,TBUT2ENE,4,BIGENE,4,0.00E+00,0.00E+00
,CBUT2ENE,4,BIGENE,4,0.00E+00,0.00E+00
,CPENT2ENE,5,BIGENE,4,2.21E+05,2.77E+05
,TPENT2ENE,5,BIGENE,4,2.21E+05,2.77E+05
,PENT1ENE,5,BIGENE,4,2.01E+05,2.52E+05
,ME2BUT2ENE,5,BIGENE,4,1.21E+05,1.51E+05
,ME3BUT1ENE,5,BIGENE,4,1.21E+05,1.51E+05
,ME2BUT1ENE,5,BIGENE,4,8.05E+04,1.01E+05
Ethyne,C2H2,2,C2H2,2,4.51E+09,4.51E+09
Benzene,BENZENE,6,TOLUENE,7,1.06E+10,9.05E+09
Toluene,TOLUENE,7,TOLUENE,7,1.22E+10,1.22E+10
Xylenes,MXYL,8,TOLUENE,7,3.00E+09,3.43E+09
,OXYL,8,TOLUENE,7,1.89E+09,2.16E+09
,PXYL,8,TOLUENE,7,1.82E+09,2.08E+09
