Type,MCM_Species,MCM_C_number,MOZART_species,MOZART_C_number,MCM_Emissions_(molecules/cm2/s),MOZART_Emissions_(molecules/cm2/s)
Ethane,C2H6,2,C2H6,2,7.96E+09,7.96E+09
Propane,C3H8,3,C3H8,3,3.94E+10,3.94E+10
Butanes,NC4H10,4,BIGALK,5,1.47E+11,1.17E+11
,IC4H10,4,BIGALK,5,3.56E+10,2.85E+10
Pentanes,NC5H12,5,BIGALK,5,1.05E+11,1.05E+11
,IC5H12,5,BIGALK,5,6.29E+10,6.29E+10
,NEOP,5,BIGALK,5,3.79E+06,3.79E+06
Hexane and Higher Alkanes,NC6H14,6,BIGALK,5,1.82E+10,2.18E+10
,M2PE,6,BIGALK,5,2.84E+09,3.41E+09
,M3PE,6,BIGALK,5,1.57E+09,1.89E+09
,NC7H16,7,BIGALK,5,1.71E+10,2.39E+10
,M2HEX,7,BIGALK,5,3.17E+08,4.44E+08
,M3HEX,7,BIGALK,5,2.59E+08,3.63E+08
,M22C4,6,BIGALK,5,5.42E+07,6.51E+07
,M23C4,6,BIGALK,5,5.42E+07,6.51E+07
,NC8H18,8,BIGALK,5,1.23E+10,1.97E+10
,NC9H20,9,BIGALK,5,9.78E+08,1.76E+09
,NC10H22,10,BIGALK,5,1.89E+09,3.78E+09
,NC11H24,11,BIGALK,5,7.96E+08,1.75E+09
,NC12H26,12,BIGALK,5,4.42E+08,1.06E+09
,CHEX,6,BIGALK,5,2.80E+08,3.36E+08
Ethene,C2H4,2,C2H4,2,8.25E+09,8.25E+09
Propene,C3H6,3,C3H6,3,1.68E+09,1.68E+09
Higher Alkenes,HEX1ENE,6,BIGENE,4,2.40E+07,3.60E+07
,BUT1ENE,4,BIGENE,4,1.86E+08,1.86E+08
,MEPROPENE,4,BIGENE,4,2.46E+06,2.46E+06
,TBUT2ENE,4,BIGENE,4,2.46E+06,2.46E+06
,CBUT2ENE,4,BIGENE,4,2.46E+06,2.46E+06
,CPENT2ENE,5,BIGENE,4,2.07E+06,2.58E+06
,TPENT2ENE,5,BIGENE,4,2.07E+06,2.58E+06
,PENT1ENE,5,BIGENE,4,5.17E+06,6.47E+06
,ME2BUT2ENE,5,BIGENE,4,2.56E+06,3.20E+06
,ME3BUT1ENE,5,BIGENE,4,2.56E+06,3.20E+06
,ME2BUT1ENE,5,BIGENE,4,3.95E+05,4.93E+05
Ethyne,C2H2,2,C2H2,2,3.22E+09,3.22E+09
Benzene,BENZENE,6,TOLUENE,7,5.02E+09,4.30E+09
Toluene,TOLUENE,7,TOLUENE,7,6.37E+09,6.37E+09
Xylenes,MXYL,8,TOLUENE,7,1.88E+09,2.14E+09
,OXYL,8,TOLUENE,7,9.66E+08,1.10E+09
,PXYL,8,TOLUENE,7,9.08E+08,1.04E+09
Trimethylbenzenes,TM123B,9,TOLUENE,7,5.17E+07,6.65E+07
,TM124B,9,TOLUENE,7,2.42E+08,3.12E+08
,TM135B,9,TOLUENE,7,7.11E+07,9.14E+07
Other Aromatics,EBENZ,8,TOLUENE,7,6.29E+08,7.19E+08
,PBENZ,9,TOLUENE,7,2.31E+08,2.97E+08
,IPBENZ,9,TOLUENE,7,9.35E+07,1.20E+08
,PETHTOL,9,TOLUENE,7,1.05E+08,1.36E+08
,METHTOL,9,TOLUENE,7,1.13E+08,1.45E+08
,OETHTOL,9,TOLUENE,7,7.62E+07,9.80E+07
,DIET35TOL,11,TOLUENE,7,3.56E+08,5.60E+08
,DIME35EB,10,TOLUENE,7,1.09E+08,1.56E+08
,STYRENE,9,TOLUENE,7,1.02E+08,1.31E+08
,BENZAL,9,TOLUENE,7,6.81E+07,8.76E+07
,PHENOL,6,TOLUENE,7,5.29E+07,4.54E+07
Formaldehyde,HCHO,1,CH2O,1,3.38E+09,3.38E+09
Other Aldehydes,CH3CHO,2,CH3CHO,2,5.35E+08,5.35E+08
,C2H5CHO,3,CH3CHO,2,1.74E+08,2.61E+08
,C3H7CHO,4,CH3CHO,2,1.06E+08,2.11E+08
,IPRCHO,4,CH3CHO,2,8.04E+07,1.61E+08
,C4H9CHO,5,CH3CHO,2,2.51E+07,6.27E+07
,ACR,3,MACR,4,9.78E+07,7.33E+07
,MACR,4,MACR,4,3.08E+07,3.08E+07
,C4ALDB,4,MACR,4,6.24E+07,6.24E+07
,MGLYOX,2,CH3COCHO,2,5.05E+07,5.05E+07
Alkadienes and Other Alkynes,C4H6,4,ISOP,5,3.08E+10,2.47E+10
,C5H8,5,ISOP,5,1.97E+10,1.97E+10
Organic Acids,HCOOH,1,HCOOH,1,4.74E+08,4.74E+08
,CH3CO2H,2,CH3COOH,2,4.88E+08,4.88E+08
,PROPACID,3,CH3COOH,2,2.95E+08,4.42E+08
,ACO2H,3,CH3COOH,2,1.04E+08,1.56E+08
Alcohols,CH3OH,1,CH3OH,1,1.85E+09,1.85E+09
,C2H5OH,2,C2H5OH,2,2.58E+09,2.58E+09
,NPROPOL,3,C2H5OH,2,1.55E+08,2.33E+08
,IPROPOL,3,C2H5OH,2,2.46E+08,3.69E+08
,NBUTOL,4,C2H5OH,2,1.49E+08,2.98E+08
,BUT2OL,4,C2H5OH,2,1.02E+08,2.04E+08
,IBUTOL,4,C2H5OH,2,6.22E+07,1.24E+08
,TBUTOL,4,C2H5OH,2,8.97E+04,1.79E+05
,PECOH,5,C2H5OH,2,7.54E+04,1.88E+05
,IPEAOH,5,C2H5OH,2,7.54E+04,1.88E+05
,ME3BUOL,5,C2H5OH,2,7.54E+04,1.88E+05
,IPECOH,5,C2H5OH,2,7.54E+04,1.88E+05
,IPEBOH,5,C2H5OH,2,7.54E+04,1.88E+05
,CYHEXOL,6,C2H5OH,2,6.64E+04,1.99E+05
,MIBKAOH,6,C2H5OH,2,3.18E+07,9.53E+07
,ETHGLY,2,C2H5OH,2,4.46E+07,4.46E+07
,PROPGLY,3,C2H5OH,2,8.88E+07,1.33E+08
,C6H5CH2OH,7,C2H5OH,2,2.55E+07,8.94E+07
,MBO,5,C2H5OH,2,7.72E+04,1.93E+05
Ketones,CH3COCH3,3,CH3COCH3,3,2.54E+09,2.54E+09
,MEK,4,MEK,4,9.26E+08,9.26E+08
,MPRK,5,MEK,4,3.30E+06,4.12E+06
,DIEK,5,MEK,4,3.30E+06,4.12E+06
,MIPK,5,MEK,4,3.30E+06,4.12E+06
,HEX2ONE,6,MEK,4,2.84E+06,4.25E+06
,HEX3ONE,6,MEK,4,2.84E+06,4.25E+06
,MIBK,6,MEK,4,5.56E+08,8.34E+08
,MTBK,6,MEK,4,2.84E+06,4.25E+06
,CYHEXONE,6,MEK,4,7.34E+07,1.10E+08
Terpenes,APINENE,10,C10H16,10,1.36E+08,1.36E+08
,BPINENE,10,C10H16,10,1.36E+08,1.36E+08
,LIMONENE,10,C10H16,10,2.00E+08,2.00E+08
Esters,METHACET,3,BIGALK,5,2.67E+06,1.60E+06
,ETHACET,4,BIGALK,5,1.29E+09,1.03E+09
,NBUTACET,6,BIGALK,5,9.03E+08,1.08E+09
,IPROACET,5,BIGALK,5,3.18E+08,3.18E+08
,CH3OCHO,5,BIGALK,5,2.99E+05,2.99E+05
,NPROACET,5,BIGALK,5,1.21E+08,1.21E+08
Ethers,CH3OCH3,2,BIGALK,5,1.07E+08,4.28E+07
,DIETETHER,4,BIGALK,5,1.99E+07,1.60E+07
,MTBE,5,BIGALK,5,1.35E+07,1.35E+07
,DIIPRETHER,6,BIGALK,5,1.93E+07,2.32E+07
,ETBE,6,BIGALK,5,1.16E+07,1.40E+07
,MO2EOL,3,BIGALK,5,1.01E+08,6.08E+07
,EOX2EOL,4,BIGALK,5,8.56E+07,6.85E+07
,PR2OHMOX,4,BIGALK,5,1.58E+08,1.26E+08
,BUOX2ETOH,6,BIGALK,5,7.05E+08,8.46E+08
